0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
5,5000005	-45,5	15,633573
5,5000005	-45,5	22,730715
5,5000005	-45,5	25,799286
5,5000005	-45,5	28,867857
-31,259998	-0,9800005	26,130716
-57,74	10,59	20,675716
-57,74	5,22	15,604284
-57,74	5,22	10,532857
-57,74	5,22	4,1557117
-57,74	5,22	-0,75643104
9,34	18,55	-1,8292879
7,8100004	33,579998	-6,766429
7,8100004	0,6300001	-9,349999
7,8100004	0,6300001	-11,933572
7,8100004	0,6300001	-15,063573
-4,7	-19,3	-17,663572
-4,7	-19,3	-20,26357
-4,7	-19,3	-22,863571
-1,7999992	-23,260002	-19,167858
3,8900003	-10,79	-13,238571
3,8900003	-10,79	-7,692856
3,8900003	-10,79	-2,1471443
3,8900003	-10,79	3,3985717
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-52,87	14,12	-13,97857
-52,87	14,12	-20,296427
-52,87	14,12	-26,129995
-52,87	14,12	-31,963568
-35,46	8,75	-36,169994
-35,46	-36,88	-37,117138
-35,46	-36,88	-38,72
-35,46	-36,88	-37,395
-35,46	-36,88	-36,069992
-35,46	-36,88	-34,74499
-35,46	-36,88	-32,95142
-8,31	-17,18	-30,625706
-8,31	-17,18	-25,207136
-8,31	-26,400002	-19,129993
-8,31	-26,400002	-13,052858
-8,31	-26,400002	-6,9757166
-8,31	-26,400002	-0,89857185
46,84	-60,18	11,530716
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-25,57	17,34	11,623572
-25,57	17,34	8,457144
-25,57	17,34	5,2907147
-25,57	17,34	2,1242852
-25,57	17,34	-1,0421431
-11,249999	17,96	-3,23
-11,249999	17,96	-5,417857
-11,249999	35,5	-9,390715
-11,249999	35,5	-13,363571
